"lang"
{

	"Language"		"English"

		"DOTA_Tooltip_modifier_raikage_shield"							"<b><font color='#36B4EE'>Lightning Release Armor</font></b>"
		"DOTA_Tooltip_modifier_raikage_shield_description"				"This Unit is <b><font color='#36B4EE'>absorbing Damage.</font></b>"
		"DOTA_Tooltip_modifier_raikage_shield_debuff"							"<b><font color='#36B4EE'>Lightning Release Armor</font></b>"
		"DOTA_Tooltip_modifier_raikage_shield_debuff_description"				"This Unit has <b><font color='#36B4EE'>reduced Movement Speed.</font></b>"		


		//--------------------
		//Shikamaru
		//--------------------
		"npc_dota_hero_shikamaru"  								"Shikamaru"

		"DOTA_Tooltip_ability_shikamaru_shadow_imitation_technique"						"<b><font color='#BFBFBF'>Shadow Imitation</font></b>"
		"DOTA_Tooltip_ability_shikamaru_shadow_imitation_technique_lore"				"Kagemane no Jutsu"
		"DOTA_Tooltip_ability_shikamaru_shadow_imitation_technique_Description"			"Extends Shikamaru's shadow towards a target point <b><font color='#BFBFBF'>latching onto the first enemy Hero</font></b> it encounters. <br><br> Once bound, the enemy will be fully disabled while <b><font color='#BFBFBF'>copying Shikamaru's movement.</font></b> <br><br> Enemies affected by <b><font color='#FFFFFF'>Flash Bombs</font></b> will remain affected for an additional <b><font color='#FFFFFF'>1</font></b> second."
		"DOTA_Tooltip_ability_shikamaru_shadow_imitation_technique_shadow_range"		"RANGE"
		"DOTA_Tooltip_ability_shikamaru_shadow_imitation_technique_shadow_duration"		"DURATION"

		"DOTA_Tooltip_modifier_shadow_imitation"				 		 "<b><font color='#BFBFBF'>Shadow Imitation</font></b>"
		"DOTA_Tooltip_modifier_shadow_imitation_description"	 		 "This Unit is <b><font color='#BFBFBF'>disabled</font></b> and will <b><font color='#BFBFBF'>mimic the caster's</font></b> movement."
		"DOTA_Tooltip_modifier_shadow_imitation_caster"				 		 "<b><font color='#BFBFBF'>Shadow Imitation</font></b>"
		"DOTA_Tooltip_modifier_shadow_imitation_caster_description"	 		 "This Unit is <b><font color='#BFBFBF'>extending their shadow</font></b> and cannot move."	


		"DOTA_Tooltip_ability_shikamaru_switching_technique"							"<b><font color='#9A86AC'>Shadow Sewing</font></b>"
		"DOTA_Tooltip_ability_shikamaru_switching_technique_lore"						"Kage Nui no Jutsu"
		"DOTA_Tooltip_ability_shikamaru_switching_technique_Description"				"<b><font color='#FFFFFF'>CHANNELED</font></b> - <b><font color='#9A86AC'>Roots and Disarms</font></b> all enemies within the target radius while <b><font color='#9A86AC'>dealing Magic Damage overtime.</font></b> <br><br> Enemies affected by <b><font color='#FFFFFF'>Flash Bombs</font></b> will additionally be <b><font color='#9A86AC'>Silenced for the duration.</font></b>"
		"DOTA_Tooltip_ability_shikamaru_switching_technique_radius"						"RADIUS"
		"DOTA_Tooltip_ability_shikamaru_switching_technique_duration"					"DURATION"

		"DOTA_Tooltip_modifier_switching_technique_flash_debuff"				 		 "<b><font color='#9A86AC'>Shadow Sewing</font></b>"
		"DOTA_Tooltip_modifier_switching_technique_flash_debuff_description"	 		 "This Unit is <b><font color='#9A86AC'>Silenced.</font></b>"	

		"DOTA_Tooltip_ability_shikamaru_flash_bombs"									"<b><font color='#FFFFFF'>Flash Bombs</font></b>"
		"DOTA_Tooltip_ability_shikamaru_flash_bombs_Description"						"<b><font color='#FFFFFF'>Throws flash bombs</font></b> into the target area dealing minor <b>Magic Damage</b>. <br><br> Damaged enemies are <b><font color='#FFFFFF'>Revealed</font></b>, <b><font color='#FFFFFF'>Movement Speed Slowed</font></b>, and <b><font color='#FFFFFF'>Blinded</font></b> causing them to miss attacks. <br><br> Enemies hit by <b><font color='#FFFFFF'>Flash Bombs</font></b> receive enchanced effects from <b><font color='#BFBFBF'>Shadow Imitation</font></b> and <b><font color='#9A86AC'>Shadow Sewing.</font></b>"

		"DOTA_Tooltip_ability_shikamaru_flash_bombs_range"								"RANGE"
		"DOTA_Tooltip_ability_shikamaru_flash_bombs_debuff_duration"					"DEBUFF DURATION"
		"DOTA_Tooltip_ability_shikamaru_flash_bombs_miss_chance"						"%MISS CHANCE"
		"DOTA_Tooltip_ability_shikamaru_flash_bombs_ms_slow"							"MOVEMENT SPEED SLOW"
		"DOTA_Tooltip_ability_shikamaru_flash_bombs_damage"								"DAMAGE"

		"DOTA_Tooltip_modifier_flash_bomb_debuff"				 		 "<b><font color='#FFFFFF'>Flash Bombs</font></b>"
		"DOTA_Tooltip_modifier_flash_bomb_debuff_description"	 		 "This Unit's <b><font color='#FFFFFF'>Movement Speed</font></b> and <b><font color='#FFFFFF'>Accuracy</font></b> is reduced and is <b><font color='#FFFFFF'>Revealed.</font></b>"		
		
		"DOTA_Tooltip_ability_shikamaru_explosive_tag_trap"							    "<b><font color='#EC5000'>Explosive Tag Trap</font></b>"
		"DOTA_Tooltip_ability_shikamaru_explosive_tag_trap_DESCRIPTION"					"<b><font color='#BFBFBF'>Places an invisible Trap</font></b> that becomes active after a short delay. <br><br> Once active, the next enemy hero that steps in range is <b><font color='#9A86AC'>fully disabled</font></b> for a period of time. <br><br> Afterwards the trapped enemy explodes <b><font color='#EC5000'>dealing massive Magic Damage</font></b> around it. <br><br> Traps cannot be placed within the trigger radius of another Trap."
		"DOTA_Tooltip_ability_shikamaru_explosive_tag_trap_trigger_radius"				"TRIGGER RADIUS"
		"DOTA_Tooltip_ability_shikamaru_explosive_tag_trap_damage"						"TRAP DAMAGE"
		"DOTA_Tooltip_ability_shikamaru_explosive_tag_trap_bind_duration"				"BIND DURATION"
		"DOTA_Tooltip_ability_shikamaru_explosive_tag_trap_max_traps"					"MAX TRAPS"
		"DOTA_Tooltip_ability_shikamaru_explosive_tag_trap_activation_time"				"ACTIVATION TIME"

		"DOTA_Tooltip_modifier_shikamaru_stun"				 		 "<b><font color='#EC5000'>Explosive Tag Trap</font></b>"
		"DOTA_Tooltip_modifier_shikamaru_stun_description"	 		 "This Unit is <b><font color='#EC5000'>Stunned.</font></b>"	


		//--------------------
		//Anko
		//--------------------
		"npc_dota_hero_anko"  									"Anko"
		"DOTA_Tooltip_ability_anko_giant_snake"						"<b><font color='#00B730'>Summoning: Giant Snake</font></b>"
		"DOTA_Tooltip_ability_anko_giant_snake_lore"				"Kuchiyose no Jutsu: Kyodaija"
		"DOTA_Tooltip_ability_anko_giant_snake_hook_distance"		"RANGE: "
		"DOTA_Tooltip_ability_anko_giant_snake_hook_damage"			"DAMAGE: "
		"DOTA_Tooltip_ability_anko_giant_snake_cd_reduc"			"COOLDOWN REDUCTION: "
		"DOTA_Tooltip_ability_anko_giant_snake_Description"			"<b><font color='#00B730'>Sends out a snake</font></b> grabbing the first enemy it encounters, dealing <b><font color='#00B730'>Pure Damage and Pulling</font></b> them to Anko."

		"DOTA_Tooltip_modifier_meat_hook_lua"				 "<b><font color='#00B730'>Summoning: Giant Snake</font></b>"
		"DOTA_Tooltip_modifier_meat_hook_lua_description"	 "Enemy is being <b><font color='#00B730'>Pulled.</font></b>"

		
		"DOTA_Tooltip_ability_anko_senei_jyashu"					"<b><font color='#2CEA5E'>Striking Snakes</font></b>"
		"DOTA_Tooltip_ability_anko_senei_jyashu_lore"				"Senei Jyashu"
		"DOTA_Tooltip_ability_anko_senei_jyashu_snake_damage"		"DAMAGE: "
		"DOTA_Tooltip_ability_anko_senei_jyashu_snake_damage_interval" "SNAKE COOLDOWN: "
		"DOTA_Tooltip_ability_anko_senei_jyashu_damage_per_stack"	"BONUS DAMAGE: "
		"DOTA_Tooltip_ability_anko_senei_jyashu_senei_jyashu_magic_resist"	"%MAGIC RESISTANCE BONUS: "
		"DOTA_Tooltip_ability_anko_senei_jyashu_senei_seek_radius"	"RADIUS: "
		"DOTA_Tooltip_ability_anko_senei_jyashu_Description"		"For a short duration, <b><font color='#2CEA5E'>unleashes snakes overtime</font></b> from Anko that inflict Magic Damage to nearby enemies prioritizing Heroes. <br><br> Enemies take <b><font color='#2CEA5E'>increased damage for each consecutive snake</font></b> that damages them. <br><br> In addition, grants <b><font color='#2CEA5E'>increased Magic Resistance.</font></b>"
		
		"DOTA_Tooltip_ability_anko_senei_ta_jashu"					"<b><font color='#78D590'>Snake Bite</font></b>"
		"DOTA_Tooltip_ability_anko_senei_ta_jashu_lore"				""
		"DOTA_Tooltip_ability_anko_senei_ta_jashu_duration"			"DURATION: "
		"DOTA_Tooltip_ability_anko_senei_ta_jashu_slow_duration"	"MOVEMENT SPEED DEBUFF DURATION: "
		"DOTA_Tooltip_ability_anko_senei_ta_jashu_damage_per_tick"	"DAMAGE OVER TIME : "
		"DOTA_Tooltip_ability_anko_senei_ta_jashu_ms_slow"			"%MOVEMENT SPEED SLOW: "
		"DOTA_Tooltip_ability_anko_senei_ta_jashu_Description"		"Deals<b><font color='#78D590'> Magic Damage</font></b> and <b><font color='#78D590'>reduced Movement Speed</font></b> to a target enemy unit for a short duration. <br><br> <b><font color='#78D590'>The enemy is Silenced</font></b> for the duration of the effect."

		"DOTA_Tooltip_modifier_anko_senei_ta_jashu_slow"				 "<b><font color='#78D590'>Snake Bite</font></b>"
		"DOTA_Tooltip_modifier_anko_senei_ta_jashu_slow_description"	 "This Unit has <b><font color='#78D590'>reduced Movement Speed.</font></b>"

		"DOTA_Tooltip_modifier_anko_senei_ta_jashu_poison"				 "<b><font color='#78D590'>Snake Bite</font></b>"
		"DOTA_Tooltip_modifier_anko_senei_ta_jashu_poison_description"	 "This Unit is <b><font color='#78D590'> Silenced</font></b> and taking <b><font color='#78D590'>Damage over time.</font></b>"

		
		"DOTA_Tooltip_ability_anko_sojasosai_no_jutsu"				"<b><font color='#B8D3BE'>Twin Snake Sacrfice</font></b>"
		"DOTA_Tooltip_ability_anko_sojasosai_no_jutsu_lore"			"Sojasosai no Jutsu"
		"DOTA_Tooltip_ability_anko_sojasosai_no_jutsu_damage_percent"	"%MISSING HP AS DAMAGE: "
		"DOTA_Tooltip_ability_anko_sojasosai_no_jutsu_Description"	"Forms a suicide pact dealing <b><font color='#B8D3BE'>Magic Damage to both</font></b> Anko and the target enemy. <br><br> Damage dealt to both Heroes is <b><font color='#2CEA5E'>based on their missing Health</font></b>."
	
		//--------------------
		//Temari
		//--------------------
		"npc_dota_hero_temari"  									"Temari"
		"DOTA_Tooltip_ability_temari_fusajin_no_jutsu"					"<b><font color='#7FD3FF'>Dust Wind</font></b>"
		"DOTA_Tooltip_ability_temari_fusajin_no_jutsu_lore"					"Fusajin no Jutsu"
		"DOTA_Tooltip_ability_temari_fusajin_no_jutsu_Description"		"<b><font color='#7FD3FF'>Deals Magic Damage</font></b> to a target and nearby enemy units. <br><br> On cast, <b><font color='#7FD3FF'>reduces the Cooldown</font></b> of Temari's other abilities by <b><font color='#FFFFFF'>1</font></b> second."
		"DOTA_Tooltip_ability_temari_fusajin_no_jutsu_damage"			"DAMAGE: "
		"DOTA_Tooltip_ability_temari_fusajin_no_jutsu_cd_reduc"			"COOLDOWN REDUCTION (TALENT): "
		"DOTA_Tooltip_ability_temari_fusajin_no_jutsu_radius"			"RADIUS: "

		
		"DOTA_Tooltip_ability_temari_kamaitachi_no_jutsu"				"<b><font color='#EAF8FF'>Wind Scythe</font></b>"
		"DOTA_Tooltip_ability_temari_kamaitachi_no_jutsu_lore"			"Kamaitachi No Jutsu"
		"DOTA_Tooltip_ability_temari_kamaitachi_no_jutsu_Description"	"<b><font color='#EAF8FF'>Unleashes a tornado</font></b> towards the target point <b><font color='#EAF8FF'>lifting enemies</font></b> into the air where they are disabled but Invulnerable. <br><br> Enemies take <b><font color='#EAF8FF'>Magic Damage upon landing.</font></b>"
		"DOTA_Tooltip_ability_temari_kamaitachi_no_jutsu_base_damage"	"DAMAGE: "
		"DOTA_Tooltip_ability_temari_kamaitachi_no_jutsu_travel_distance"	"RANGE: "
		"DOTA_Tooltip_ability_temari_kamaitachi_no_jutsu_lift_duration"	 "LIFT DURATION: "

		"DOTA_Tooltip_modifier_temari_kamaitachi_no_jutsu_cyclone"				 "<b><font color='#EAF8FF'>Wind Scythe</font></b>"
		"DOTA_Tooltip_modifier_temari_kamaitachi_no_jutsu_cyclone_description"	 "This Unit is being <b><font color='#EAF8FF'>lifted</font></b> and is unable to move."

		"DOTA_Tooltip_ability_temari_sheer_wind"						"<b><font color='#7FF1DF'>Sheer Wind</font></b>"
		"DOTA_Tooltip_ability_temari_sheer_wind_Description"			"Grants bonus <b><font color='#7FF1DF'>Movement Speed and Attack Speed</font></b> each time Temari casts a spell. <br><br> Stacks last for <b><font color='#FFFFFF'>12</font></b> seconds and stack up to <b><font color='#FFFFFF'>3</font></b> times."
		"DOTA_Tooltip_ability_temari_sheer_wind_sheer_wind_attack_speed_bonus"	"BONUS ATTACK SPEED PER STACK: "
		"DOTA_Tooltip_ability_temari_sheer_wind_sheer_wind_move_speed_bonus"	"%BONUS MOVEMENT SPEED PER STACK: "
		"DOTA_Tooltip_ability_temari_sheer_wind_sheer_wind_max_stacks"	"MAX STACKS: "

		"DOTA_Tooltip_modifier_temari_sheer_wind_stack_counter"				 "<b><font color='#7FF1DF'>Sheer Wind Counter</font></b>"
		"DOTA_Tooltip_modifier_temari_sheer_wind_stack_counter_description"	 "This Unit will gain <b><font color='#7FF1DF'>Movement Speed</font></b> and <b><font color='#7FF1DF'>Attack Speed</font></b> when casting spells."
		"DOTA_Tooltip_modifier_temari_sheer_wind_stack_buff"				 "<b><font color='#7FF1DF'>Sheer Wind Stack</font></b>"
		"DOTA_Tooltip_modifier_temari_sheer_wind_stack_buff_description"	 "Duration for a stack of <b><font color='#7FF1DF'>Sheer Wind.</font></b>"

		"DOTA_Tooltip_ability_temari_kuchiyose_kirikiri_mai"				"<b><font color='#F3C6FF'>Summoning: Blade Dance</font></b>"
		"DOTA_Tooltip_ability_temari_kuchiyose_kirikiri_mai_lore"				"Kuchiyose: Kirikiri Mai"
		"DOTA_Tooltip_ability_temari_kuchiyose_kirikiri_mai_description"	"Unleashes <b><font color='#FFFFFF'>5</font></b> Tornados in a wave, each <b><font color='#EAF8FF'>dealing Magic Damage</font></b> in a line. <br><br> Each Tornado inflicts a short <b><font color='#F3C6FF'>Movement Speed Slow</font></b> on contact with an enemy."
		"DOTA_Tooltip_ability_temari_kuchiyose_kirikiri_mai_base_damage"	"DAMAGE PER TORNADO: "
		"DOTA_Tooltip_ability_temari_kuchiyose_kirikiri_mai_cyclone_count_tooltips"	"CYCLONE COUNT: "

		"DOTA_Tooltip_modifier_kuchiyose_kirikiri_mai"				 "<b><font color='#F3C6FF'>Summoning: Blade Dance</font></b>"
		"DOTA_Tooltip_modifier_kuchiyose_kirikiri_mai_description"	 "This Unit's <b><font color='#F3C6FF'>Movement Speed is reduced.</font></b>"

		//--------------------
		//Sarutobi
		//--------------------
		"npc_dota_hero_batrider"  											"Sarutobi"
		"DOTA_Tooltip_ability_sarutobi_katon_doton_combo"					"Katon/Doton Combo"
		"DOTA_Tooltip_ability_sarutobi_katon_doton_combo_Description"		"By combining Katon: karyuu endan with Doton: doryuu taiga Sarutobi cause heavy burns to enemies and also weaken their attacks while they are burning. Last for 10 seconds."
		
		// Shukaku
		"DOTA_Tooltip_ability_shukaku_sabaku_kyuu"						"<b><font color='#D86C26'>Sand Coffin</font></b>"
		"DOTA_Tooltip_ability_shukaku_sabaku_kyuu_lore"					"Sabaku Kyu"
		"DOTA_Tooltip_ability_shukaku_sabaku_kyuu_description"			"<b><font color='#FFFFFF'>CHANNELED</font></b> - Encases the target in sand <b><font color='#D86C26'>fully disabling them while Channeled.</font></b> <br><br> <b><font color='#D86C26'>Magic Damage is dealt</font></b> after <b><font color='#FFFFFF'>1.4</font></b> seconds of being Channeled."
		"DOTA_Tooltip_ability_shukaku_sabaku_kyuu_dmg"				"DAMAGE: "
		"DOTA_Tooltip_ability_shukaku_sabaku_kyuu_duration"				"DURATION: "
		
		// beasts passive
		"DOTA_Tooltip_ability_tailed_beast_slayer"						"<b>ANCIENT GRUDGE</b>"
		"DOTA_Tooltip_ability_tailed_beast_slayer_description"			"Gains 20% bonus damage and 7% damage reduction per stack against enemies who previously killed a Tailed Beast. Up to 80% bonus damage and 28% damage reduction."
		
		// wind blast shukaku
		"DOTA_Tooltip_ability_shukaku_futon_sasandan"						"<b>Futon: Sasandan</b>"
		"DOTA_Tooltip_ability_shukaku_futon_sasandan_description"			"After a short delay, Shukaku fires a large wind projectile. The projectile repels enemies and is capable of destroying forests."
	
		//------------------------
		// Items
		//------------------------
		//Leather gloves -> handguards
    	"DOTA_Tooltip_ability_item_aegis"											"Kyuubi Essence"
		"DOTA_Tooltip_ability_item_aegis_lore"										""
    	


    	//Leather gloves -> handguards
    	"DOTA_Tooltip_ability_item_handguards"										"Handguards"
		"DOTA_Tooltip_ability_item_handguards_Lore"									"Whether it be forming seals, wielding weapons, or simply striking, these handguards protect one of the most important assets a shinobi can have on the battlefield."
    	"DOTA_Tooltip_ability_item_handguards_attackspeed"							"Bonus Attackspeed: +"


    	//Drum of Endurance
    	"DOTA_Tooltip_ability_item_ancient_janggo_datadriven"										"Hashirama's Sashimono"
		"DOTA_Tooltip_ability_item_ancient_janggo_datadriven_Lore"									"A relic that enchants the bodies of those around it for swifter movement in times of crisis."
    	"DOTA_Tooltip_ability_item_ancient_janggo_datadriven_description"							"Active: Endurance - Gives bonus +%endurance_bonus_attack_speed% attack speed and +%endurance_bonus_movement_speed_pct%%% movement speed to surrounding allies.\nPassive: Swiftness Aura - Gives bonus attack and movement speed to surrounding allies.\n\nMultiple instances of Swiftness Aura do not stack."
    	"DOTA_Tooltip_ability_item_ancient_janggo_datadriven_bonus_stats"							"STATS: +"
    	"DOTA_Tooltip_ability_item_ancient_janggo_datadriven_bonus_damage"							"BONUS DAMAGE: +"
    	"DOTA_Tooltip_ability_item_ancient_janggo_datadriven_aura_bonus_attack_speed"				"AURA AS BUFF: +"
    	"DOTA_Tooltip_ability_item_ancient_janggo_datadriven_aura_bonus_movement_speed_pct"			"%AURA MS BUFF: +"


    	//Mask of Ne
    	"DOTA_Tooltip_ability_item_mask_of_ne"										"Mask of Ne"
		"DOTA_Tooltip_ability_item_mask_of_ne_Lore"									"The mask of Ne, or ANBU root, is a beginner's mask that helps its bearer to specialize in certain attacks."
    	"DOTA_Tooltip_ability_item_mask_of_ne_bonus_lifesteal"						"Lifesteal: +"
    	
    	//Ring of regenration
    	"DOTA_Tooltip_ability_item_ring_of_regeneration"							"Ring of Regeneration"
		"DOTA_Tooltip_ability_item_ring_of_regeneration_Lore"						"These rings are especially useful for ninjas who need extra stamina on extended missions."
    	"DOTA_Tooltip_ability_item_ring_of_regeneration_bonus_hp_reg_constant"		"Hp Regeneration: +"
    	
    	//ANBU Mask
    	"DOTA_Tooltip_ability_item_anbu_mask"										"ANBU Mask"
		"DOTA_Tooltip_ability_item_anbu_mask_Lore"									"Ninjas who exceed the level of a Jounin are given one of these unique masks. Their owners are known for their abilities in manipulating chakra."
    	"DOTA_Tooltip_ability_item_anbu_mask_bonus_mana_reg_percentage"				"%Chakra Regeneration: +"
    	
    	//Running Shoes
    	"DOTA_Tooltip_ability_item_shinobi_sandals"									"Shinobi Sandals"
		"DOTA_Tooltip_ability_item_shinobi_sandals_Lore"							"The standard made Shinobi Sandal is the most common form of footwear to be seen on a ninja, both when at war and while at home."
    	"DOTA_Tooltip_ability_item_shinobi_sandals_bonus_movement_speed_constant"	"Movement Speed: +"
    	
    	//Shinobi Cloak
    	"DOTA_Tooltip_ability_item_shinobi_cloak"									"Shinobi Cloak"
		"DOTA_Tooltip_ability_item_shinobi_cloak_Lore"								"It is not uncommon for ninjas to wear a traveling cloak during their journeys as they grant increased protection from the elements and enemy techniques."
    	"DOTA_Tooltip_ability_item_shinobi_cloak_bonus_magic_resistance"			"%Jutsu Resistance: +"
    	
    	//Gem of Truesight
    	"DOTA_Tooltip_ability_item_byakugan_lens"									"Byakugan Lens"
    	"DOTA_Tooltip_ability_item_byakugan_lens_description"						"Grants Truesight"
		"DOTA_Tooltip_ability_item_byakugan_lens_Lore"								"The power of the Byakugan allows the user to see the chakra network of any living being, regardless of their stealth or camouflage."
    	"DOTA_Tooltip_modifier_truesight_datadriven"								"Byakugan Lens"
    	"DOTA_Tooltip_modifier_truesight_datadriven_description"					"This Unit has Truesight."

    	//Shinobi Claws
    	"DOTA_Tooltip_ability_item_shinobi_claws"									"Shinobi Claws"
		"DOTA_Tooltip_ability_item_shinobi_claws_Lore"								"A vicious weapon that is used by shinobi who aim to shred their foe."
    	"DOTA_Tooltip_ability_item_shinobi_claws_bonus_damage"						"Attack Damage: +"

    	//Broadsword
    	"DOTA_Tooltip_ability_item_broadsword_datadriven"							"Broadsword"
		"DOTA_Tooltip_ability_item_broadsword_datadriven_Lore"						"A basic sword that grants its owner increased attack power. Combining this sword with other items may unlock the forbidden powers that are held within."
    	"DOTA_Tooltip_ability_item_broadsword_datadriven_bonus_damage"				"Attack Damage: +"

    	//Metal Gauntlets
    	"DOTA_Tooltip_ability_item_metal_gauntlets"									"Metal Gauntlets"
		"DOTA_Tooltip_ability_item_metal_gauntlets_Lore"							"These pairs of Steel Gauntlets help the user unleash swift attacks upon their enemies. The talons of these Gauntlets are capable of dealing serious piercing damage."
		"DOTA_Tooltip_ability_item_metal_gauntlets_bonus_damage"					"Attack Damage: +"
    	"DOTA_Tooltip_ability_item_metal_gauntlets_bonus_attackspeed"				"Attackspeed: +"

		//Tenten's Spear
    	"DOTA_Tooltip_ability_item_tentens_spear"									"Tenten's Spear"
		"DOTA_Tooltip_ability_item_tentens_spear_Lore"								"Owned by a weapons specialist, Tenten's spear is summoned through a summoning scroll and can be thrusted at enemies for heavy damage."
		"DOTA_Tooltip_ability_item_tentens_spear_bonus_damage"						"Attack Damage: +"

		//Forehead Protector
    	"DOTA_Tooltip_ability_item_forehead_protector"								"Forehead Protector"
		"DOTA_Tooltip_ability_item_forehead_protector_Lore"							"A Shinobi's Forehead Protector is one of their most personal possessions. While mainly used to identify a ninja's allegiance, they also offer a slight amount of protection for the User."
		"DOTA_Tooltip_ability_item_forehead_protector_bonus_armor"					"Armor: +"
		//Forehead Protector
    	"DOTA_Tooltip_ability_item_forehead_protector_iwagakure"								"Forehead Protector"
		"DOTA_Tooltip_ability_item_forehead_protector_iwagakure_Lore"							"A Shinobi's Forehead Protector is one of their most personal possessions. While mainly used to identify a ninja's allegiance, they also offer a slight amount of protection for the User."
		"DOTA_Tooltip_ability_item_forehead_protector_iwagakure_bonus_armor"					"Armor: +"
		//Forehead Protector
    	"DOTA_Tooltip_ability_item_forehead_protector_kirigakure_scarred"								"Forehead Protector"
		"DOTA_Tooltip_ability_item_forehead_protector_kirigakure_scarred_Lore"							"A Shinobi's Forehead Protector is one of their most personal possessions. While mainly used to identify a ninja's allegiance, they also offer a slight amount of protection for the User."
		"DOTA_Tooltip_ability_item_forehead_protector_kirigakure_scarred_bonus_armor"					"Armor: +"
		//Forehead Protector
    	"DOTA_Tooltip_ability_item_forehead_protector_kumogakure"								"Forehead Protector"
		"DOTA_Tooltip_ability_item_forehead_protector_kumogakure_Lore"							"A Shinobi's Forehead Protector is one of their most personal possessions. While mainly used to identify a ninja's allegiance, they also offer a slight amount of protection for the User."
		"DOTA_Tooltip_ability_item_forehead_protector_kumogakure_bonus_armor"					"Armor: +"
		//Forehead Protector
    	"DOTA_Tooltip_ability_item_forehead_protector_konoha"								"Forehead Protector"
		"DOTA_Tooltip_ability_item_forehead_protector_konoha_Lore"							"A Shinobi's Forehead Protector is one of their most personal possessions. While mainly used to identify a ninja's allegiance, they also offer a slight amount of protection for the User."
		"DOTA_Tooltip_ability_item_forehead_protector_konoha_bonus_armor"					"Armor: +"
		//Forehead Protector
    	"DOTA_Tooltip_ability_item_forehead_protector_konoha_scarred"								"Forehead Protector"
		"DOTA_Tooltip_ability_item_forehead_protector_konoha_scarred_Lore"							"A Shinobi's Forehead Protector is one of their most personal possessions. While mainly used to identify a ninja's allegiance, they also offer a slight amount of protection for the User."
		"DOTA_Tooltip_ability_item_forehead_protector_konoha_scarred_bonus_armor"					"Armor: +"
		//Forehead Protector
    	"DOTA_Tooltip_ability_item_forehead_protector_otogakure"								"Forehead Protector"
		"DOTA_Tooltip_ability_item_forehead_protector_otogakure_Lore"							"A Shinobi's Forehead Protector is one of their most personal possessions. While mainly used to identify a ninja's allegiance, they also offer a slight amount of protection for the User."
		"DOTA_Tooltip_ability_item_forehead_protector_otogakure_bonus_armor"					"Armor: +"
		//Forehead Protector
    	"DOTA_Tooltip_ability_item_forehead_protector_sunagakure"								"Forehead Protector"
		"DOTA_Tooltip_ability_item_forehead_protector_sunagakure_Lore"							"A Shinobi's Forehead Protector is one of their most personal possessions. While mainly used to identify a ninja's allegiance, they also offer a slight amount of protection for the User."
		"DOTA_Tooltip_ability_item_forehead_protector_sunagakure_bonus_armor"					"Armor: +"
		//Forehead Protector
    	"DOTA_Tooltip_ability_item_forehead_protector_yugakure_scarred"								"Forehead Protector"
		"DOTA_Tooltip_ability_item_forehead_protector_yugakure_scarred_Lore"							"A Shinobi's Forehead Protector is one of their most personal possessions. While mainly used to identify a ninja's allegiance, they also offer a slight amount of protection for the User."
		"DOTA_Tooltip_ability_item_forehead_protector_yugakure_scarred_bonus_armor"					"Armor: +"




		//Shin Guards
    	"DOTA_Tooltip_ability_item_shin_guards"										"Shin Guards"
    	"DOTA_Tooltip_ability_item_shin_guards_description"							"Passive: Block - %block_chance%%% Chance to block %damage_block_melee% Damage as Melee Hero and %damage_block_ranged% Damage as Range Hero."
		"DOTA_Tooltip_ability_item_shin_guards_Lore"								"These Shin Guards are most commonly used by ANBU operatives during assination missions. They offer basic protection from enemy attacks at a cheap cost."

		//Javelin
    	"DOTA_Tooltip_ability_item_javelin_datadriven"								"Javelin"
    	"DOTA_Tooltip_ability_item_javelin_datadriven_Description"					"Passive: Pierce - Grants a %chance%%% chance to deal %extra_dmg% bonus damage."
		"DOTA_Tooltip_ability_item_javelin_datadriven_Lore"							"A mighty spear used in the Second Shinobi War, this weapon was common while ninjas striked their foes from afar."
		"DOTA_Tooltip_ability_item_javelin_datadriven_bonus_damage"					"Attack Damage: +"

		//Mithril Hammer
    	"DOTA_Tooltip_ability_item_mithril_hammer_datadriven"						"Mithril Hammer"
		"DOTA_Tooltip_ability_item_mithril_hammer_datadriven_Lore"					"For Ishigakure, these war hammers were once a popular alternative to the kunai during the First Shinobi War. To this day, veterans use these weapons to remind them of their glory days."
		"DOTA_Tooltip_ability_item_mithril_hammer_datadriven_bonus_damage"			"Attack Damage: +"

		//Shinobi Uniform
    	"DOTA_Tooltip_ability_item_shinobi_uniform"									"Shinobi Uniform"
		"DOTA_Tooltip_ability_item_shinobi_uniform_Lore"							"These standard issued shinobi uniforms are used by nearly all ninjas, from Genin rank to Jounin."
		"DOTA_Tooltip_ability_item_shinobi_uniform_bonus_armor"						"Armor: +"

		//Samurai Helm
    	"DOTA_Tooltip_ability_item_samurai_helm"									"Samurai Helm"
		"DOTA_Tooltip_ability_item_samurai_helm_Lore"								"The unique helm of the samurai is rarely seen on ninjas, but they add a significant amount of protection to their bearers."
		"DOTA_Tooltip_ability_item_samurai_helm_bonus_armor"						"Armor: +"
		"DOTA_Tooltip_ability_item_samurai_helm_bonus_hpreg"						"Hp Regeneration: +"

		//Samurai Armor
    	"DOTA_Tooltip_ability_item_samurai_armor"									"Samurai Armor"
		"DOTA_Tooltip_ability_item_samurai_armor_Lore"								"The heavy armor of the samurai is rarely worn by shinobi, but offers a great amount of protection when needed."
		"DOTA_Tooltip_ability_item_samurai_armor_bonus_armor"						"Armor: +"

		//Gloves of Strength
    	"DOTA_Tooltip_ability_item_gloves_of_strength"								"Gloves of Strength"
